Producer	Col_P	Target	value
Actinobacteria	#B22222	Actinobacteria	8.92
Actinobacteria	#B22222	Flavobacteriia	1.14
Actinobacteria	#B22222	Bacilli	2.06
Actinobacteria	#B22222	Alphaproteobacteria	2.07
Actinobacteria	#B22222	Betaproteobacteria	2.78
Actinobacteria	#B22222	Gammaproteobacteria	2.68
Flavobacteriia	#4682B4	Actinobacteria	9.74
Flavobacteriia	#4682B4	Flavobacteriia	4
Flavobacteriia	#4682B4	Bacilli	0
Flavobacteriia	#4682B4	Alphaproteobacteria	5.6
Flavobacteriia	#4682B4	Betaproteobacteria	4.55
Flavobacteriia	#4682B4	Gammaproteobacteria	5.88
Bacilli	#FFA500	Actinobacteria	12.98
Bacilli	#FFA500	Flavobacteriia	1.19
Bacilli	#FFA500	Bacilli	2.24
Bacilli	#FFA500	Alphaproteobacteria	2.24
Bacilli	#FFA500	Betaproteobacteria	2.62
Bacilli	#FFA500	Gammaproteobacteria	2.74
Alphaproteobacteria	#32CD32	Actinobacteria	8.51
Alphaproteobacteria	#32CD32	Flavobacteriia	0
Alphaproteobacteria	#32CD32	Bacilli	2.25
Alphaproteobacteria	#32CD32	Alphaproteobacteria	2.01
Alphaproteobacteria	#32CD32	Betaproteobacteria	2.89
Alphaproteobacteria	#32CD32	Gammaproteobacteria	2.55
Betaproteobacteria	#228B22	Actinobacteria	11.32
Betaproteobacteria	#228B22	Flavobacteriia	0
Betaproteobacteria	#228B22	Bacilli	0.92
Betaproteobacteria	#228B22	Alphaproteobacteria	3.21
Betaproteobacteria	#228B22	Betaproteobacteria	2.14
Betaproteobacteria	#228B22	Gammaproteobacteria	2.23
Gammaproteobacteria	#006400	Actinobacteria	20.5
Gammaproteobacteria	#006400	Flavobacteriia	2.46
Gammaproteobacteria	#006400	Bacilli	6
Gammaproteobacteria	#006400	Alphaproteobacteria	8.79
Gammaproteobacteria	#006400	Betaproteobacteria	7.57
Gammaproteobacteria	#006400	Gammaproteobacteria	9.51
