DATASET_HEATMAP

SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	Rs

#dataset color (can be changed later)
COLOR	#000000

#define labels for each individual field column
FIELD_LABELS	R. solanacearum

DATA
R4	0
R9	0
R11	1.54
R22	0
R29	NA
R31	0
R50	0
R53	0
R60	0
R61	0
R63	3.16
R65	0
R68	0
R70	0
R71	0
R73	0
R74	0
R76	0
R77	0
R79	0
R81	0
R83	1.35
R85	0
R96	0
R100	0
R101	0
R102	NA
R105	NA
R107	NA
R122	0
R127	0
R131	1.92
R133	NA
R135	0
R136	0
R137	0
R140	0
R142	0
R147	0
R149	0
R151	0
R154	0
R157	0
R166	0
R170	1.49
R172	0
R179	0.24
R180	NA
R181	0
R186	NA
R187	NA
R189	0
R190	0
R214	0
R217	0
R219	0
R224	0
R227	0
R231	0
R236	0
R239	0.36
R240	0
R241	0
R258	0
R264	0
R265	0
R267	0
R268	0
R274	0
R275	0
R278	0
R322	0
R329	4.85
R332	0
R335	NA
R342	0
R343	NA
R344	0
R369	0.56
R381	0
R401	6.54
R402	0
R404	NA
R411	0
R418	NA
R420	NA
R423	0
R431	NA
R434	0
R436	0
R456	0
R473	0
R480	0
R482	0
R485	NA
R491	0
S522	NA
S531	0
S535	0
S538	0
R552	0
R553	0
R554	0
R558	0
R559	0
R561	0
R562	3.53
R563	NA
R564	0
R565	0
R568	0
R569	6.23
R604	NA
R614	0
R627	0
R630	0
R635	NA
R651	0
R656	NA
R667	0
R670	0
R682	0
R685	0
R690	0
R695	0
R700	NA
R708	0
R710	0
R720	0
S728	0
S729	0
S736	1.55
S745	1.04
S748	0
S750	0
S756	0
S761	0
S762	0
S763	0
S764	0
S766	0
S772	0
S773	0
S774	0
S777	0
S782	0
S787	0
S796	0
S797	0
S803	0
S805	NA
S809	0
S810	0
S811	0
R901	NA
R916	0
R918	0
R920	2.92
R930	0
R935	0
R954	0
R983	0
R1203	0
R1212	0
R1217	NA
R1220	NA
R1221	0
R1238	NA
R1240	0
R1252	0
R1257	0
R1277	0
R1280	0
R1293	0
R1294	0
R1295	3.45
R1298	0
R1304	NA
R1310	0
R1312	0
R1319	NA
R1334	0
R1455	0
R112D2	0
R123D2	0
R16D2	0
R198D2	NA
R280D1	0
R318D1	0.23
R336D2	NA
R413D1	NA
R444D2	0
R472D3	0
R483D1	0
R483D2	0
R487D2Y	0
S724D2	0
S768D1	1.96

