Isolate	Isolate_old	Fraction	Phylum	Class	Order	Family	Genus	nBGCs	mean_ant	n_ant	mean_sus	n_sus	R401
Soil522	522	abundant soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	9	0	0	0.046848485	14	0
Soil531	531	abundant soil	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	7	0.033323232	30	0	0	0
Soil535	535	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	4	0	0	0	0	2.214
Soil538	538	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	14	0.004868687	4	0.031464646	11	0
Soil728	728	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	4	0.007156566	4	0.000686869	1	0.406
Soil729	729	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	ND	1	0.00010101	1	0.003075758	2	1.216
Soil736	736	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	6	0.000378788	1	0.012121212	6	0.48
Soil745	745	abundant soil	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	8	0.013146465	10	0.000353535	1	0
Soil748	748	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	4	0.001762626	2	0.001868687	4	0
Soil750	750	abundant soil	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	11	0.001459596	1	0.00310101	2	0
Soil756	756	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	2	0	0	0.01120202	7	1.707
Soil761	761	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	2	0	0	0.006580808	6	0
Soil762	762	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	4	0.003166667	2	0.050909091	31	0
Soil763	763	abundant soil	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	2	0	0	0.001505051	5	0
