Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	Halo_size_mm							
Rs	I	___	1	1	Top_left	1	4.579							
Rs	I	___	1	1	Top_left	2	4.833							
Rs	I	___	1	1	Top_left	3	3.902							
Rs	I	___	1	1	Top_left	4	4.323							
Rs	I	___	1	1	Top_left	5	4.374							
Rs	I	___	1	2	Top_center	1	5.254							
Rs	I	___	1	2	Top_center	2	5.342							
Rs	I	___	1	2	Top_center	3	5.001							
Rs	I	___	1	2	Top_center	4	5.339							
Rs	I	___	1	2	Top_center	5	5.393							
Rs	I	___	1	3	Top_right	1	5.426							
Rs	I	___	1	3	Top_right	2	5.342							
Rs	I	___	1	3	Top_right	3	5.345							
Rs	I	___	1	3	Top_right	4	5.340							
Rs	I	___	1	3	Top_right	5	5.560							
Rs	I	___	1	4	Mid_left	1	4.245							
Rs	I	___	1	4	Mid_left	2	4.407							
Rs	I	___	1	4	Mid_left	3	4.492							
Rs	I	___	1	4	Mid_left	4	4.238							
Rs	I	___	1	4	Mid_left	5	4.363							
Rs	I	___	1	5	Mid_center	1								
Rs	I	___	1	5	Mid_center	2								
Rs	I	___	1	5	Mid_center	3								
Rs	I	___	1	5	Mid_center	4								
Rs	I	___	1	5	Mid_center	5								
Rs	I	___	1	6	Mid_right	1	4.747							
Rs	I	___	1	6	Mid_right	2	4.410							
Rs	I	___	1	6	Mid_right	3	4.323							
Rs	I	___	1	6	Mid_right	4	4.577							
Rs	I	___	1	6	Mid_right	5	4.527							
Rs	I	___	1	7	Bottom_left	1								
Rs	I	___	1	7	Bottom_left	2								
Rs	I	___	1	7	Bottom_left	3								
Rs	I	___	1	7	Bottom_left	4								
Rs	I	___	1	7	Bottom_left	5								
Rs	I	___	1	8	Bottom_center	1	4.325							
Rs	I	___	1	8	Bottom_center	2	4.245							
Rs	I	___	1	8	Bottom_center	3	3.984							
Rs	I	___	1	8	Bottom_center	4	4.153							
Rs	I	___	1	8	Bottom_center	5	4.265							
Rs	I	___	1	9	Bottom_right	1	4.661							
Rs	I	___	1	9	Bottom_right	2	4.576							
Rs	I	___	1	9	Bottom_right	3	4.615							
Rs	I	___	1	9	Bottom_right	4	4.664							
Rs	I	___	1	9	Bottom_right	5	4.794							
Rs	I	___	2	1	Top_left	1	5.260							
Rs	I	___	2	1	Top_left	2	5.169							
Rs	I	___	2	1	Top_left	3	5.088							
Rs	I	___	2	1	Top_left	4	4.749							
Rs	I	___	2	1	Top_left	5	5.077							
Rs	I	___	2	2	Top_center	1	5.511							
Rs	I	___	2	2	Top_center	2	5.424							
Rs	I	___	2	2	Top_center	3	5.345							
Rs	I	___	2	2	Top_center	4	5.339							
Rs	I	___	2	2	Top_center	5	5.644							
Rs	I	___	2	3	Top_right	1	5.679							
Rs	I	___	2	3	Top_right	2	5.424							
Rs	I	___	2	3	Top_right	3	5.085							
Rs	I	___	2	3	Top_right	4	5.187							
Rs	I	___	2	3	Top_right	5	4.927							
Rs	I	___	2	4	Mid_left	1	4.579							
Rs	I	___	2	4	Mid_left	2	4.746							
Rs	I	___	2	4	Mid_left	3	4.408							
Rs	I	___	2	4	Mid_left	4	4.664							
Rs	I	___	2	4	Mid_left	5	4.618							
Rs	I	___	2	5	Mid_center	1								
Rs	I	___	2	5	Mid_center	2								
Rs	I	___	2	5	Mid_center	3								
Rs	I	___	2	5	Mid_center	4								
Rs	I	___	2	5	Mid_center	5								
Rs	I	___	2	6	Mid_right	1	4.153							
Rs	I	___	2	6	Mid_right	2	4.325							
Rs	I	___	2	6	Mid_right	3	3.991							
Rs	I	___	2	6	Mid_right	4	3.899							
