Well	Time	Temp	Mean	Stdev
A1	0	20.1	0.658699989	0.116300002
A10	0	20.1	0.663600028	0.096699998
A11	0	20.1	0.705500007	0.074299999
A12	0	20.1	0.752699971	0.123899996
A2	0	20.1	0.684000015	0.044599999
A3	0	20.1	0.708800018	0.0491
A4	0	20.1	0.722800016	0.054000001
A5	0	20.1	0.685199976	0.0557
A6	0	20.1	0.664799988	0.0208
A7	0	20.1	0.763400018	0.127299994
A8	0	20.1	0.690800011	0.064999998
A9	0	20.1	0.65140003	0.0801
B1	0	20.1	0.616699994	0.116499998
B10	0	20.1	0.645900011	0.105899997
B11	0	20.1	0.698700011	0.095899999
B12	0	20.1	0.712100029	0.089400001
B2	0	20.1	0.570500016	0.042800002
B3	0	20.1	0.619000018	0.0374
B4	0	20.1	0.623700023	0.042800002
B5	0	20.1	0.60860002	0.067400001
B6	0	20.1	0.651499987	0.096799999
B7	0	20.1	0.663500011	0.100299999
B8	0	20.1	0.669099987	0.095700003
B9	0	20.1	0.650099993	0.110100001
C1	0	20.1	0.788600028	0.044300001
C10	0	20.1	0.863499999	0.118299998
C11	0	20.1	0.866400003	0.100299999
C12	0	20.1	0.865499973	0.107299998
C2	0	20.1	0.811800003	0.0491
C3	0	20.1	0.826600015	0.088600002
C4	0	20.1	0.831200004	0.069799997
C5	0	20.1	0.841400027	0.119099997
C6	0	20.1	0.829400003	0.072800003
C7	0	20.1	0.869700015	0.120300002
C8	0	20.1	0.871299982	0.112300001
C9	0	20.1	0.858099997	0.110699996
D1	0	20.1	0.744700015	0.035300002
D10	0	20.1	0.849799991	0.109800003
D11	0	20.1	0.855499983	0.099699996
D12	0	20.1	0.83160001	0.080799997
D2	0	20.1	0.757000029	0.0148
D3	0	20.1	0.769299984	0.0127
D4	0	20.1	0.80369997	0.0502
D5	0	20.1	0.81190002	0.073600002
D6	0	20.1	0.82980001	0.094700001
D7	0	20.1	0.820900023	0.071900003
D8	0	20.1	0.857800007	0.1162
D9	0	20.1	0.848699987	0.113799997
E1	0	20.1	0.787800014	0.159500003
E10	0	20.1	0.82069999	0.112300001
E11	0	20.1	0.890699983	0.137500003
E12	0	20.1	0.824000001	0.151600003
E2	0	20.1	0.785899997	0.140900001
E3	0	20.1	0.799199998	0.127100006
E4	0	20.1	0.837400019	0.098700002
E5	0	20.1	0.781599998	0.158600003
E6	0	20.1	0.924399972	0.164299995
E7	0	20.1	0.888800025	0.207399994
E8	0	20.1	0.86619997	0.166899994
E9	0	20.1	0.835600019	0.062600002
F1	0	20.1	0.799600005	0.124899998
F10	0	20.1	0.935299993	0.073899999
F11	0	20.1	0.837000012	0.075499997
F12	0	20.1	0.859000027	0.087800004
F2	0	20.1	0.79339999	0.118600003
F3	0	20.1	0.795599997	0.115199998
F4	0	20.1	0.887300014	0.143299997
F5	0	20.1	0.899600029	0.098099999
F6	0	20.1	0.912100017	0.0911
F7	0	20.1	0.937900007	0.0605
F8	0	20.1	0.889199972	0.105499998
F9	0	20.1	0.939100027	0.097000003
G1	0	20.1	0.782000005	0.157700002
G10	0	20.1	0.870899975	0.0458
G11	0	20.1	0.859799981	0.131999999
G12	0	20.1	0.92839998	0.165900007
G2	0	20.1	0.787599981	0.164900005
G3	0	20.1	0.791700006	0.172099993
G4	0	20.1	0.895799994	0.104699999
G5	0	20.1	0.922599971	0.092799999
G6	0	20.1	0.919499993	0.1197
G7	0	20.1	0.909799993	0.153899997
G8	0	20.1	0.968599975	0.132699996
G9	0	20.1	0.908100009	0.188800007
A1	300.1	20.4	0.438800007	0.116099998
A10	300.1	20.4	0.443599999	0.139899999
A11	300.1	20.4	0.531899989	0.094499998
A12	300.1	20.4	0.551199973	0.132100001
