Experiment	Lawn_bacterium	Plate	Colony	Measurement	Colony_diameter	Halo_diameter
I	R22	1	Bottom_center	1	1.161	2.66
I	R22	1	Bottom_center	2	1.125	2.589
I	R22	1	Bottom_center	3	1.18	2.517
I	R22	1	Bottom_center	4	1.194	2.572
I	R22	1	Bottom_center	5	1.196	2.535
I	R22	2	Bottom_center	1	1.205	2.696
I	R22	2	Bottom_center	2	1.178	2.571
I	R22	2	Bottom_center	3	1.216	2.632
I	R22	2	Bottom_center	4	1.221	2.57
I	R22	2	Bottom_center	5	1.207	2.678
I	R22	3	Bottom_center	1	1.185	2.612
I	R22	3	Bottom_center	2	1.137	2.594
I	R22	3	Bottom_center	3	1.196	2.561
I	R22	3	Bottom_center	4	1.198	2.622
I	R22	3	Bottom_center	5	1.19	2.47
I	R22	4	Bottom_center	1	1.149	2.72
I	R22	4	Bottom_center	2	1.125	2.745
I	R22	4	Bottom_center	3	1.151	2.722
I	R22	4	Bottom_center	4	1.186	2.711
I	R22	4	Bottom_center	5	1.161	2.772
I	R22	5	Bottom_center	1	1.213	2.914
I	R22	5	Bottom_center	2	1.151	2.843
I	R22	5	Bottom_center	3	1.204	2.77
I	R22	5	Bottom_center	4	1.2	2.855
I	R22	5	Bottom_center	5	1.199	2.826
I	R265	1	Bottom_center	1	1.254	5
I	R265	1	Bottom_center	2	1.204	5
I	R265	1	Bottom_center	3	1.274	5
I	R265	1	Bottom_center	4	1.244	5
I	R265	1	Bottom_center	5	1.255	5
I	R265	2	Bottom_center	1	1.265	5
I	R265	2	Bottom_center	2	1.216	5
I	R265	2	Bottom_center	3	1.301	5
I	R265	2	Bottom_center	4	1.327	5
I	R265	2	Bottom_center	5	1.26	5
I	R265	3	Bottom_center	1	1.289	5
I	R265	3	Bottom_center	2	1.218	5
I	R265	3	Bottom_center	3	1.285	5
I	R265	3	Bottom_center	4	1.298	5
I	R265	3	Bottom_center	5	1.262	5
I	R265	4	Bottom_center	1	1.256	5
I	R265	4	Bottom_center	2	1.197	5
I	R265	4	Bottom_center	3	1.266	5
I	R265	4	Bottom_center	4	1.242	5
I	R265	4	Bottom_center	5	1.233	5
I	R265	5	Bottom_center	1	1.272	5
I	R265	5	Bottom_center	2	1.23	5
I	R265	5	Bottom_center	3	1.326	5
I	R265	5	Bottom_center	4	1.328	5
I	R265	5	Bottom_center	5	1.285	5
I	R4	1	Bottom_center	1	1.179	3.357
I	R4	1	Bottom_center	2	1.107	3.518
I	R4	1	Bottom_center	3	1.161	3.457
I	R4	1	Bottom_center	4	1.181	3.432
I	R4	1	Bottom_center	5	1.202	3.467
I	R4	2	Bottom_center	1	1.241	3.072
I	R4	2	Bottom_center	2	1.188	3.214
I	R4	2	Bottom_center	3	1.229	3.048
I	R4	2	Bottom_center	4	1.255	3.072
I	R4	2	Bottom_center	5	1.223	3.036
I	R4	3	Bottom_center	1	1.298	3.382
I	R4	3	Bottom_center	2	1.233	3.515
I	R4	3	Bottom_center	3	1.275	3.33
I	R4	3	Bottom_center	4	1.25	3.492
I	R4	3	Bottom_center	5	1.286	3.414
I	R4	4	Bottom_center	1	1.271	3.413
I	R4	4	Bottom_center	2	1.218	3.403
I	R4	4	Bottom_center	3	1.262	3.468
I	R4	4	Bottom_center	4	1.268	3.451
I	R4	4	Bottom_center	5	1.28	3.442
I	R4	5	Bottom_center	1	1.235	3.343
I	R4	5	Bottom_center	2	1.19	3.318
I	R4	5	Bottom_center	3	1.232	3.197
I	R4	5	Bottom_center	4	1.224	3.224
I	R4	5	Bottom_center	5	1.222	3.139
I	R553	1	Bottom_center	1	1.287	2.3
I	R553	1	Bottom_center	2	1.219	2.335
I	R553	1	Bottom_center	3	1.276	2.324
