"lawn_bacterium"	"R401"	"avgnormhalowidth"	"avgnormhalowidth2"
"R105"	"cAcT"	74.0881049985364	138.834270345176
"R105"	"dAcT"	74.6555257847115	135.813982430427
"R105"	"dDAPG"	52.2923421766492	191.902093336232
"R105"	"dDAPGdAcT"	29.1259737983049	348.514882816462
"R105"	"dDAPGdNRPS"	50.612274372108	198.064165313994
"R105"	"dNRPS"	89.262796740439	112.643335995274
"R105"	"WT"	100	100
"R1334"	"cAcT"	101.153309970202	98.879689593988
"R1334"	"dAcT"	99.2029587819389	100.817028624345
"R1334"	"dDAPG"	44.0343872947823	229.355195055586
"R1334"	"dDAPGdAcT"	22.5637166254362	449.473492277747
"R1334"	"dDAPGdNRPS"	42.7911768384917	235.856580293424
"R1334"	"dNRPS"	96.1222539070276	104.101500083902
"R1334"	"WT"	100	100
"R179"	"cAcT"	111.15014591594	91.4802099025227
"R179"	"dAcT"	82.2224555365328	127.586418541512
"R179"	"dDAPG"	76.9831493598074	131.411779362151
"R179"	"dDAPGdAcT"	23.9658760393873	438.1202986339
"R179"	"dDAPGdNRPS"	37.3658408755544	277.130182023311
"R179"	"dNRPS"	98.3056317908484	110.923294856148
"R179"	"WT"	100	100
"R22"	"cAcT"	112.555204372945	89.7607399007045
"R22"	"dAcT"	77.7908562782613	130.832704828812
"R22"	"dDAPG"	19.642262502351	521.374807913895
"R22"	"dDAPGdAcT"	0.00151775351282892	6675600
"R22"	"dDAPGdNRPS"	0.00151775351282892	6675600
"R22"	"dNRPS"	84.6362058112008	119.631880840196
"R22"	"WT"	100	100
"R265"	"cAcT"	101.349142162222	98.6850965075288
"R265"	"dAcT"	100.197608932848	99.8098890826819
"R265"	"dDAPG"	0.000542475643721795	18436400
"R265"	"dDAPGdAcT"	0.000542475643721795	18436400
"R265"	"dDAPGdNRPS"	0.000542475643721795	18436400
"R265"	"dNRPS"	100.187598457118	99.8246247203022
"R265"	"WT"	100	100
"R29"	"cAcT"	67.7465024917198	1700897.02006569
"R29"	"dAcT"	66.4609755807563	1700898.19467781
"R29"	"dDAPG"	35.3929995876515	283.875113819611
"R29"	"dDAPGdAcT"	3.88396559478919	7457703.01043219
"R29"	"dDAPGdNRPS"	6.37624954540648	7457662.74130106
"R29"	"dNRPS"	76.8999977449599	1700886.96067851
"R29"	"WT"	100	100
"R4"	"cAcT"	148.220965243654	68.5324534995023
"R4"	"dAcT"	82.3045879491345	123.258172541654
"R4"	"dDAPG"	17.3834676015223	616.171054575544
"R4"	"dDAPGdAcT"	0.00141969235330363	7196200
"R4"	"dDAPGdNRPS"	0.00141969235330363	7196200
"R4"	"dNRPS"	108.256994091484	95.1323567331069
"R4"	"WT"	100	100
"R402"	"cAcT"	96.3272401918781	105.000511285565
"R402"	"dAcT"	81.0039066802423	124.828026434294
"R402"	"dDAPG"	64.3337482130773	158.842514819615
"R402"	"dDAPGdAcT"	21.2082084876543	2071604.41752364
"R402"	"dDAPGdNRPS"	37.7819094529556	1002570.81615215
"R402"	"dNRPS"	89.3775851043942	112.692980640799
"R402"	"WT"	100	100
"R483D1"	"cAcT"	97.9634868786504	102.18409673998
"R483D1"	"dAcT"	55.3918035575247	181.194406736302
"R483D1"	"dDAPG"	102.696192089052	97.4701941228754
"R483D1"	"dDAPGdAcT"	37.1032071920737	270.290283551511
"R483D1"	"dDAPGdNRPS"	88.2036517165422	113.72321515132
"R483D1"	"dNRPS"	86.7922722805532	115.499227992835
"R483D1"	"WT"	100	100
"R483D2"	"cAcT"	96.3921193722021	104.678071117046
"R483D2"	"dAcT"	86.2225203243556	118.382952006723
"R483D2"	"dDAPG"	112.296718129028	90.0264139175652
"R483D2"	"dDAPGdAcT"	55.1609875958527	188.57158100024
"R483D2"	"dDAPGdNRPS"	99.8485386058377	101.951289350479
"R483D2"	"dNRPS"	104.5698725809	96.0602347921503
"R483D2"	"WT"	100	100
