Lawn_bacterium	Mutant_setup	Iron	Plate	Colony_pos	Colony	Measurement	
Rs	III	___	1	1	Top_left	1	0
Rs	III	___	1	1	Top_left	2	0
Rs	III	___	1	1	Top_left	3	0
Rs	III	___	1	1	Top_left	4	0
Rs	III	___	1	1	Top_left	5	0
Rs	III	___	1	2	Top_center	1	0
Rs	III	___	1	2	Top_center	2	0
Rs	III	___	1	2	Top_center	3	0
Rs	III	___	1	2	Top_center	4	0
Rs	III	___	1	2	Top_center	5	0
Rs	III	___	1	3	Top_right	1	5.339
Rs	III	___	1	3	Top_right	2	5.430
Rs	III	___	1	3	Top_right	3	5.085
Rs	III	___	1	3	Top_right	4	5.199
Rs	III	___	1	3	Top_right	5	5.203
Rs	III	___	1	4	Mid_left	1	0
Rs	III	___	1	4	Mid_left	2	0
Rs	III	___	1	4	Mid_left	3	0
Rs	III	___	1	4	Mid_left	4	0
Rs	III	___	1	4	Mid_left	5	0
Rs	III	___	1	5	Mid_center	1	4.749
Rs	III	___	1	5	Mid_center	2	4.662
Rs	III	___	1	5	Mid_center	3	4.661
Rs	III	___	1	5	Mid_center	4	4.747
Rs	III	___	1	5	Mid_center	5	4.520
Rs	III	___	1	6	Mid_right	1	0
Rs	III	___	1	6	Mid_right	2	0
Rs	III	___	1	6	Mid_right	3	0
Rs	III	___	1	6	Mid_right	4	0
Rs	III	___	1	6	Mid_right	5	0
Rs	III	___	1	7	Bottom_left	1	4.068
Rs	III	___	1	7	Bottom_left	2	4.245
Rs	III	___	1	7	Bottom_left	3	4.082
Rs	III	___	1	7	Bottom_left	4	3.987
Rs	III	___	1	7	Bottom_left	5	4.169
Rs	III	___	1	8	Bottom_center	1	0
Rs	III	___	1	8	Bottom_center	2	0
Rs	III	___	1	8	Bottom_center	3	0
Rs	III	___	1	8	Bottom_center	4	0
Rs	III	___	1	8	Bottom_center	5	0
Rs	III	___	1	9	Bottom_right	1	0
Rs	III	___	1	9	Bottom_right	2	0
Rs	III	___	1	9	Bottom_right	3	0
Rs	III	___	1	9	Bottom_right	4	0
Rs	III	___	1	9	Bottom_right	5	0
Rs	III	___	2	1	Top_left	1	0
Rs	III	___	2	1	Top_left	2	0
Rs	III	___	2	1	Top_left	3	0
Rs	III	___	2	1	Top_left	4	0
Rs	III	___	2	1	Top_left	5	0
Rs	III	___	2	2	Top_center	1	0
Rs	III	___	2	2	Top_center	2	0
Rs	III	___	2	2	Top_center	3	0
Rs	III	___	2	2	Top_center	4	0
Rs	III	___	2	2	Top_center	5	0
Rs	III	___	2	3	Top_right	1	4.673
Rs	III	___	2	3	Top_right	2	4.577
Rs	III	___	2	3	Top_right	3	4.673
Rs	III	___	2	3	Top_right	4	4.576
Rs	III	___	2	3	Top_right	5	4.679
Rs	III	___	2	4	Mid_left	1	0
Rs	III	___	2	4	Mid_left	2	0
Rs	III	___	2	4	Mid_left	3	0
Rs	III	___	2	4	Mid_left	4	0
Rs	III	___	2	4	Mid_left	5	0
Rs	III	___	2	5	Mid_center	1	4.673
Rs	III	___	2	5	Mid_center	2	4.407
Rs	III	___	2	5	Mid_center	3	4.499
Rs	III	___	2	5	Mid_center	4	4.831
Rs	III	___	2	5	Mid_center	5	4.594
Rs	III	___	2	6	Mid_right	1	0
Rs	III	___	2	6	Mid_right	2	0
Rs	III	___	2	6	Mid_right	3	0
Rs	III	___	2	6	Mid_right	4	0
Rs	III	___	2	6	Mid_right	5	0
Rs	III	___	2	7	Bottom_left	1	5.001
Rs	III	___	2	7	Bottom_left	2	4.831
Rs	III	___	2	7	Bottom_left	3	4.916
Rs	III	___	2	7	Bottom_left	4	5.170
Rs	III	___	2	7	Bottom_left	5	5.161
Rs	III	___	2	8	Bottom_center	1	0
Rs	III	___	2	8	Bottom_center	2	0
Rs	III	___	2	8	Bottom_center	3	0
Rs	III	___	2	8	Bottom_center	4	0
Rs	III	___	2	8	Bottom_center	5	0
Rs	III	___	2	9	Bottom_right	1	0
Rs	III	___	2	9	Bottom_right	2	0
Rs	III	___	2	9	Bottom_right	3	0
Rs	III	___	2	9	Bottom_right	4	0
Rs	III	___	2	9	Bottom_right	5	0
Rs	III	___	3	1	Top_left	1	0
Rs	III	___	3	1	Top_left	2	0
Rs	III	___	3	1	Top_left	3	0
Rs	III	___	3	1	Top_left	4	0
Rs	III	___	3	1	Top_left	5	0
Rs	III	___	3	2	Top_center	1	0
Rs	III	___	3	2	Top_center	2	0
Rs	III	___	3	2	Top_center	3	0
Rs	III	___	3	2	Top_center	4	0
Rs	III	___	3	2	Top_center	5	0
Rs	III	___	3	3	Top_right	1	5.596
Rs	III	___	3	3	Top_right	2	5.679
Rs	III	___	3	3	Top_right	3	5.257
Rs	III	___	3	3	Top_right	4	4.916
