Experiment	Flowpot	Plant	R401	Freshweight
I	1	1	54	3.8
I	1	1	56	8
I	1	1	54DD	2.2
I	1	1	56DD	8.5
I	1	1	DD	4.9
I	1	1	HK	16.8
I	1	1	WT	8
I	1	2	54	8.5
I	1	2	56	6
I	1	2	54DD	10.4
I	1	2	56DD	12.6
I	1	2	DD	5.7
I	1	2	HK	5.4
I	1	2	WT	8.7
I	1	3	54	14
I	1	3	56	4.8
I	1	3	54DD	4.6
I	1	3	56DD	8.8
I	1	3	DD	10.3
I	1	3	HK	4.2
I	1	3	WT	10
I	1	4	54	3.2
I	1	4	56	6.8
I	1	4	54DD	2.6
I	1	4	56DD	0
I	1	4	DD	3.3
I	1	4	HK	7.2
I	1	4	WT	4.2
I	1	5	54	1.6
I	1	5	56	4.9
I	1	5	54DD	4
I	1	5	56DD	0
I	1	5	DD	0
I	1	5	HK	0
I	1	5	WT	3.5
I	1	6	54	0
I	1	6	56	0
I	1	6	54DD	0
I	1	6	56DD	0
I	1	6	DD	0
I	1	6	HK	0
I	1	6	WT	0
I	2	1	54	4.7
I	2	1	56	6.2
I	2	1	54DD	10.3
I	2	1	56DD	21
I	2	1	DD	17.3
I	2	1	HK	10.9
I	2	1	WT	4.8
I	2	2	54	8.7
I	2	2	56	10.2
I	2	2	54DD	8.8
I	2	2	56DD	6.5
I	2	2	DD	5.5
I	2	2	HK	4.4
I	2	2	WT	4.1
I	2	3	54	5.2
I	2	3	56	2.9
I	2	3	54DD	4.7
I	2	3	56DD	8.4
I	2	3	DD	6.8
I	2	3	HK	0
I	2	3	WT	4.8
I	2	4	54	11.8
I	2	4	56	1.5
I	2	4	54DD	3.1
I	2	4	56DD	5.6
I	2	4	DD	4.5
I	2	4	HK	0
I	2	4	WT	3.1
I	2	5	54	0.9
I	2	5	56	0
I	2	5	54DD	8.7
I	2	5	56DD	5.8
I	2	5	DD	3.5
I	2	5	HK	0
I	2	5	WT	1.2
I	2	6	54	0
I	2	6	56	0
I	2	6	54DD	0
I	2	6	56DD	0
I	2	6	DD	0
I	2	6	HK	0
I	2	6	WT	0
I	3	1	54	7.4
I	3	1	56	12.3
I	3	1	54DD	4.6
I	3	1	56DD	8.4
I	3	1	DD	14.9
I	3	1	HK	6.6
I	3	1	WT	13.8
I	3	2	54	8.9
I	3	2	56	13.8
I	3	2	54DD	7
I	3	2	56DD	6.4
I	3	2	DD	11.9
I	3	2	HK	5.5
I	3	2	WT	6.4
I	3	3	54	12
I	3	3	56	13.6
I	3	3	54DD	7.9
I	3	3	56DD	3.9
I	3	3	DD	9.1
I	3	3	HK	11.3
I	3	3	WT	3.7
I	3	4	54	6.4
I	3	4	56	3.7
I	3	4	54DD	16.7
I	3	4	56DD	11.3
I	3	4	DD	0
I	3	4	HK	8.9
I	3	4	WT	3.2
I	3	5	54	2.5
I	3	5	56	3.2
I	3	5	54DD	4.7
I	3	5	56DD	5.5
I	3	5	DD	0
I	3	5	HK	4
