Col	Row	R401
1	A	X
2	A	X
3	A	X
4	A	X
5	A	X
6	A	X
7	A	X
8	A	X
9	A	X
10	A	X
11	A	X
12	A	X
1	B	X
2	B	none
3	B	WT
4	B	dAcT
5	B	dNRPS
6	B	XXX
7	B	XXX
8	B	dDAPG
9	B	dDAPGdAcT
10	B	dDAPGdNRPS
11	B	XXX
12	B	X
1	C	X
2	C	XXX
3	C	none
4	C	WT
5	C	dAcT
6	C	dNRPS
7	C	XXX
8	C	XXX
9	C	dDAPG
10	C	dDAPGdAcT
11	C	dDAPGdNRPS
12	C	X
1	D	X
2	D	dDAPGdNRPS
3	D	XXX
4	D	none
5	D	WT
6	D	dAcT
7	D	dNRPS
8	D	XXX
9	D	XXX
10	D	dDAPG
11	D	dDAPGdAcT
12	D	X
1	E	X
2	E	dDAPGdAcT
3	E	dDAPGdNRPS
4	E	XXX
5	E	none
6	E	WT
7	E	dAcT
8	E	dNRPS
9	E	XXX
10	E	XXX
11	E	dDAPG
12	E	X
1	F	X
2	F	dDAPG
3	F	dDAPGdAcT
4	F	dDAPGdNRPS
5	F	XXX
6	F	none
7	F	WT
8	F	dAcT
9	F	dNRPS
10	F	XXX
11	F	XXX
12	F	X
1	G	X
2	G	XXX
3	G	dDAPG
4	G	dDAPGdAcT
5	G	dDAPGdNRPS
6	G	XXX
7	G	none
8	G	WT
9	G	dAcT
10	G	dNRPS
11	G	XXX
12	G	X
1	H	X
2	H	X
3	H	X
4	H	X
5	H	X
6	H	X
7	H	X
8	H	X
9	H	X
10	H	X
11	H	X
12	H	X
